gpkg_fid,Name,Alt Name,Description,Canyon Region,Quality (1-10),Longest Abseil (m),Num Abseils,Technical Difficulty (B/BG/I/A),Remoteness/Accessbility (VEA/EA/M/R/VR),Distance,Flow Accumulation,Wetsuit Reccomendation (N/R/SR),Time,Source,Source Link,Image Path,long,lat
43,Waterecho Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.1843714,-33.2877738
44,Zorro Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2035944,-33.2925918
45,Pleasant View Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2065644,-33.2972768
46,Wombat Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.1599094,-33.2876338
60,Newness / Starlight Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2844034,-33.1559018
63,Firefly Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2764034,-33.1795018
64,Hartleys Mistake Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2763034,-33.1985018
65,Bigfoot Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2712034,-33.2069018
66,Tiger Snake Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2527034,-33.2214018
67,Inverse Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3526034,-33.2310018
68,Bull Ring Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3800034,-33.2477018
69,Heart Attack Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3029034,-33.2383018
70,Contradiction Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3200034,-33.2456018
71,Thunderstorm Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3228034,-33.2691018
72,Breakfast Creek Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2991034,-33.2721018
73,Coachwood Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2936034,-33.2810018
74,Rocky Creek Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2954064,-33.2890388
75,Twister Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2864034,-33.2876018
113,Bells  Grotto,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2268784,-33.2401558
114,The Dry Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2101274,-33.2559898
116,Galah Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3032114,-33.2513578
117,Closet Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3080234,-33.2596948
118,Surefire Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2915404,-33.2266808
119,Looking Glass Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2821924,-33.1802918
120,Pipeline Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2660054,-33.1647908
121,Nightmare Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2727234,-33.1654608
122,Devils Pinch Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2804864,-33.1643828
163,Reverse Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3610264,-33.2482338
164,Bull Race Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3348264,-33.2166648
165,Twilight Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2985144,-33.1864478
166,Little Dingo Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3475224,-33.2114038
167,Lyrebird Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3574284,-33.2413658
173,Disappointment Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3612364,-33.2620518
215,False Teeth Canyon (RJ),,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2956484,-33.1492998
230,Constance Gorge Walk,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2551604,-33.2114338
231,Quick Dip Canyon (RJ),,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3099184,-33.2773998
232,Ferny Canyon (RJ),,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3100924,-33.2846998
233,Tea Time Canyon ? (RJ),,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.3098484,-33.2591548
237,Upper Deanes Creek Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2622024,-33.2772578
244,Drainpipe Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.265839,-33.1618892
245,Penrose Gully,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2449655,-33.224438
246,Windows,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2455574,-33.2166168
247,Hole in the Rock,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2479851,-33.213153
248,Sheep Dip Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.2693603,-33.3117096
87,Whungee Wheengee Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3742034,-33.4757018
88,Water Dragon Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3676034,-33.4837018
89,Wollangambe 2 Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3743034,-33.4871018
90,Serendipity Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3808884,-33.4933488
91,Wollangambe 1 Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3588034,-33.4889018
92,Bell Creek Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3371034,-33.4999018
93,Belfry Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3360034,-33.5011018
109,Waterfall of Moss Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3847404,-33.4775508
110,Horshoe Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3551144,-33.4847748
111,Geronimo Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3518984,-33.4861388
112,Clatterteeth Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3422214,-33.5117808
174,Du Faur Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3516154,-33.4997228
175,Joe's Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3566714,-33.4953638
176,Wollangambe Lower Section,,,Wollangambe Canyons,,,,,,,,,,,,,150.3965364,-33.4871958
238,Gooch's Canyon (RJ),,,Wollangambe Canyons,,,,,,,,,,,,,150.2695024,-33.4562038
241,Old Man Canyon,,,Wollangambe Canyons,,,,,wx,,,,,,,,150.3960649,-33.4719344
254,Little Bell,,,Wollangambe Canyons,,,,,,,,,,,,,150.3358653,-33.5031982
255,Whirlpool Canyon,,,Wollangambe Canyons,,,,,,,,,,,,,150.3400807,-33.482182
1,Apsley Gorge,,,,,,,,,,,,,,,,151.9075034,-31.1033349
2,Apsley Falls,,,,,,,,,,,,,,,,151.7691704,-31.0497239
3,Bakers Creek,,,,,,,,,,,,,,,,151.8908364,-30.5438909
4,Hastings River Canyon,,,,,,,,,,,,,,,,152.2186144,-31.2077799
5,Mihi Gorge,,,,,,,,,,,,,,,,151.7283364,-30.6736129
6,Styx River,,,,,,,,,,,,,,,,152.1983364,-30.5775019
7,Wollomombi Gorge,,,,,,,,,,,,,,,,152.0452814,-30.5336129
8,Gloucester Falls,,,,,,,,,,,,,,,,151.6000034,-32.0986128
9,Polblue Falls,,,,,,,,,,,,,,,,151.3875034,-31.9255578
10,Emperor Falls,,,,,,,,,,,,,,,,151.5977814,-32.1019458
11,Williams River,,,,,,,,,,,,,,,,151.4850034,-32.0755578
12,Gleniffer Canyon,,,,,,,,,,,,,,,,152.8936144,-30.3341689
13,Rosewood Canyon,,,,,,,,,,,,,,,,152.7988924,-30.3613909
14,Bangalore Canyon,,,,,,,,,,,,,,,,152.9200034,-30.2950019
15,Dandahra Canyon,,,,,,,,,,,,,,,,152.3705594,-29.5208349
16,Urumbilum Canyon,,,,,,,,,,,,,,,,152.9352814,-30.3205579
17,Wayper Canyon,,,,,,,,,,,,,,,,152.9158364,-30.2569459
18,Sassafrass,,,,,,,,,,,,,,,,152.7875034,-30.3686129
19,Coombadjha Creek,,,,,,,,,,,,,,,,152.3372254,-29.4594459
20,Dandahra Falls,,,,,,,,,,,,,,,,152.3700034,-29.5202799
21,Clouds Creek,,,,,,,,,,,,,,,,152.6786144,-30.0400019
22,Hell Hole Falls,,,,,,,,,,,,,,,,153.3508364,-28.4797239
23,Ironpot Creek Canyon,,,,,,,,,,,,,,,,152.7400034,-28.4680579
24,Lynch’s Creek,,,,,,,,,,,,,,,,153.1111144,-28.4058349
25,Mackay's No4,,,,,,,,,,,,,,,,153.3172254,-28.5819459
26,Nilla Nilla Gorge,,,,,,,,,,,,,,,,153.3166704,-28.4600019
27,Silent Pool,,,,,,,,,,,,,,,,152.5275034,-30.3086129
28,Jerrara,,,,,,,,,,,,,,,,149.9994474,-34.7950018
29,Landers Falls,,,,,,,,,,,,,,,,148.3488924,-35.6397238
30,Spring Creek (Bungonia),,,,,,,,,,,,,,,,150.0366704,-34.8513908
31,Long Gully,,,,,,,,,,,,,,,,150.0297254,-34.8477798
